Date,GOOGL,BF-A,EMR,ANET,AMZN,NVDA,CNC,TD
2025-10-06,250.42999267578125,27.360000610351562,134.187744140625,149.5,220.89999389648438,185.5399932861328,37.63999938964844,81.2300033569336
2025-10-07,245.75999450683594,27.540000915527344,130.9219207763672,145.2899932861328,221.77999877929688,185.0399932861328,38.41999816894531,80.91000366210938
2025-10-08,244.6199951171875,27.440000534057617,132.3656463623047,157.36000061035156,225.22000122070312,189.11000061035156,38.45000076293945,80.44999694824219
2025-10-09,241.52999877929688,27.329999923706055,130.9617462158203,158.22999572753906,227.74000549316406,192.57000732421875,37.83000183105469,79.83000183105469
2025-10-10,236.57000732421875,26.489999771118164,125.46559143066406,154.10000610351562,216.3699951171875,183.16000366210938,35.7599983215332,78.31999969482422
2025-10-13,244.14999389648438,26.780000686645508,127.62620544433594,147.4499969482422,220.07000732421875,188.32000732421875,36.36000061035156,78.87000274658203
2025-10-14,245.4499969482422,27.34000015258789,129.2093505859375,138.7899932861328,216.38999938964844,180.02999877929688,36.439998626708984,79.38999938964844
2025-10-15,251.02999877929688,27.030000686645508,129.70718383789062,143.3800048828125,215.57000732421875,179.8300018310547,35.790000915527344,80.38999938964844
2025-10-16,251.4600067138672,28.350000381469727,128.33314514160156,146.00999450683594,214.47000122070312,181.80999755859375,35.63999938964844,78.72000122070312
2025-10-17,253.3000030517578,28.520000457763672,128.72146606445312,143.10000610351562,213.0399932861328,183.22000122070312,35.27000045776367,79.19000244140625
2025-10-20,256.54998779296875,28.760000228881836,129.78684997558594,146.47999572753906,216.47999572753906,182.63999938964844,35.61000061035156,79.87000274658203
2025-10-21,250.4600067138672,28.56999969482422,131.59896850585938,145.94000244140625,222.02999877929688,181.16000366210938,36.099998474121094,80.36000061035156
2025-10-22,251.69000244140625,27.690000534057617,129.54788208007812,146.58999633789062,217.9499969482422,180.27999877929688,36.02000045776367,80.8499984741211
2025-10-23,253.0800018310547,27.729999542236328,132.61456298828125,152.75999450683594,221.08999633789062,182.16000366210938,34.36000061035156,80.9000015258789
2025-10-24,259.9200134277344,27.600000381469727,132.1067657470703,153.82000732421875,224.2100067138672,186.25999450683594,34.06999969482422,81.0
2025-10-27,269.2699890136719,28.149999618530273,133.87908935546875,156.80999755859375,226.97000122070312,191.49000549316406,33.150001525878906,81.62999725341797
2025-10-28,267.4700012207031,28.040000915527344,133.93882751464844,156.77000427246094,229.25,201.02999877929688,33.189998626708984,82.72000122070312
2025-10-29,274.57000732421875,26.670000076293945,135.84056091308594,162.02999877929688,230.3000030517578,207.0399932861328,37.34000015258789,81.77999877929688
2025-10-30,281.4800109863281,26.610000610351562,136.22889709472656,158.44000244140625,222.86000061035156,202.88999938964844,35.02000045776367,81.91000366210938
2025-10-31,281.19000244140625,27.1200008392334,138.96701049804688,157.69000244140625,244.22000122070312,202.49000549316406,35.369998931884766,82.12999725341797
2025-11-03,283.7200012207031,27.219999313354492,139.42501831054688,157.58999633789062,254.0,206.8800048828125,34.5,81.93000030517578
2025-11-04,277.5400085449219,27.139999389648438,137.14491271972656,153.5500030517578,249.32000732421875,198.69000244140625,36.11000061035156,80.54000091552734
2025-11-05,284.30999755859375,26.770000457763672,131.8777618408203,140.4199981689453,250.1999969482422,195.2100067138672,36.84000015258789,80.66000366210938
2025-11-06,284.75,26.40999984741211,130.9219207763672,134.02000427246094,243.0399932861328,188.0800018310547,37.099998474121094,80.43000030517578
2025-11-07,278.8299865722656,26.610000610351562,128.93055725097656,134.64999389648438,244.41000366210938,188.14999389648438,37.560001373291016,80.9000015258789
2025-11-10,290.1000061035156,27.110000610351562,129.42840576171875,137.25999450683594,248.39999389648438,199.0500030517578,34.25,81.13999938964844
2025-11-11,291.30999755859375,27.829999923706055,128.9703826904297,134.92999267578125,249.10000610351562,193.16000366210938,35.36000061035156,81.5999984741211
2025-11-12,286.7099914550781,27.31999969482422,131.86781311035156,134.97999572753906,244.1999969482422,193.8000030517578,36.20000076293945,82.73999786376953
2025-11-13,278.57000732421875,27.959999084472656,127.90501403808594,130.3000030517578,237.5800018310547,186.86000061035156,36.09000015258789,81.3499984741211
2025-11-14,276.4100036621094,27.760000228881836,127.58000183105469,131.3699951171875,234.69000244140625,190.1699981689453,36.380001068115234,81.3499984741211
2025-11-17,285.0199890136719,27.440000534057617,126.93000030517578,127.26000213623047,232.8699951171875,186.60000610351562,37.08000183105469,81.44999694824219
2025-11-18,284.2799987792969,27.540000915527344,126.75,123.44999694824219,222.5500030517578,181.36000061035156,36.93000030517578,82.26000213623047
2025-11-19,292.80999755859375,27.040000915527344,128.1699981689453,124.80999755859375,222.69000244140625,186.52000427246094,35.95000076293945,81.58999633789062
2025-11-20,289.45001220703125,27.559999465942383,123.72000122070312,119.58999633789062,217.13999938964844,180.63999938964844,34.83000183105469,81.31999969482422
